Site_Name,Site_Code,Loc_Name,Loc_Code,QAQC,Start_Date,Plot_Name,PI_Distance,Spp_Code,Spp_Name
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,0,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,0.3,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,0.6,WATER,Water
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,0.9,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,1.2,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,1.5,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,1.8,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,2.1,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,2.4,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,2.7,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,3,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,3.3,WATER,Water
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,3.6,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,3.9,WATER,Water
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,4.2,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,4.5,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,4.8,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,5.1,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,5.4,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,5.7,WATER,Water
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,6,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,6.3,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,6.6,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,6.9,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,7.2,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,7.5,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,7.8,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,8.1,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,8.4,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,8.7,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,9,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,9.3,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,9.6,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,9.9,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,10.2,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,10.5,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,10.8,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,11.1,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,11.4,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,11.7,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,12,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,12.3,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,12.6,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,12.9,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,13.2,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,13.5,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,13.8,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,14.1,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,14.4,UNIDEN,Unidentified
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,14.7,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,15,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,15.3,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,15.6,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,15.9,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,16.2,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,16.5,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,16.8,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,17.1,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,17.4,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,17.7,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,18,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,18.3,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,18.6,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,18.9,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,19.2,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,19.5,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,19.8,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,20.1,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,20.4,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,20.7,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,21,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,21.3,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,21.6,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,21.9,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,22.2,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,22.5,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,22.8,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,23.1,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,23.4,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,23.7,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,24,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,24.3,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,24.6,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,24.9,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,25.2,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,25.5,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,25.8,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,26.1,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,26.4,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,26.7,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,27,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,27.3,FUCEPI,Fucus epibiont
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,27.6,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,27.9,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,28.2,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,28.5,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,28.8,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,29.1,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,29.4,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,29.7,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,30,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,30.3,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,30.6,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,30.9,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,31.2,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,31.5,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,31.8,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,32.1,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,32.4,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,32.7,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,33,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,33.3,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,33.6,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,33.9,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,34.2,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,34.5,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,34.8,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,35.1,FUCEPI,Fucus epibiont
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,35.4,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,35.7,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,36,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,36.3,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,36.6,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,36.9,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,37.2,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,37.5,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,37.8,ALGRED,Other Algae - Red
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,38.1,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,38.4,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,38.7,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,39,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,39.3,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,39.6,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,39.9,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,40.2,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,40.5,ARTCOR,Articulated Corallines
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,40.8,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,41.1,ARTCOR,Articulated Corallines
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,41.4,UNIDEN,Unidentified
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,41.7,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,42,ARTCOR,Articulated Corallines
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,42.3,UNIDEN,Unidentified
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,42.6,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,42.9,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,43.2,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,43.5,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,43.8,CHOMAS,Irish Moss (Chondrus / Mastocarpus)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,44.1,UNIDEN,Unidentified
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,44.4,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,44.7,ALGRED,Other Algae - Red
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T1,45,ULVSPP,Sea Lettuce (Ulva spp.)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,0,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,0.3,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,0.6,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,0.9,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,1.2,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,1.5,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,1.8,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,2.1,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,2.4,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,2.7,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,3,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,3.3,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,3.6,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,3.9,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,4.2,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,4.5,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,4.8,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,5.1,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,5.4,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,5.7,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,6,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,6.3,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,6.6,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,6.9,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,7.2,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,7.5,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,7.8,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,8.1,WATER,Water
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,8.4,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,8.7,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,9,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,9.3,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,9.6,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,9.9,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,10.2,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,10.5,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,10.8,NONCOR,Crustose non-coraline
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,11.1,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,11.4,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,11.7,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,12,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,12.3,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,12.6,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,12.9,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,13.2,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,13.5,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,13.8,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,14.1,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,14.4,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,14.7,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,15,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,15.3,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,15.6,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,15.9,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,16.2,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,16.5,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,16.8,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,17.1,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,17.4,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,17.7,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,18,ROCK,Rock
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,18.3,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,18.6,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,18.9,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,19.2,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,19.5,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,19.8,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,20.1,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,20.4,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,20.7,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,21,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,21.3,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,21.6,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,21.9,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,22.2,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,22.5,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,22.8,FUCSPP,Rockweed (Fucus) spp.
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,23.1,BARSPP,Barnacle (e.g. S. balanoides)
Acadia NP,ACAD,Bass Harbor,BASHAR,0,6/21/2013,T2,23.4,FUCSPP,Rockweed (Fucus) spp.
