Site_Code	Loc_Code	Plot_Name	QAQC	Elevation_MLLW_m	Start_Date	year	Label	Distance_m
ACAD	BASHAR	T1	0	4.51	6/21/2013 0:00	2013	T1 bolt 01	0
ACAD	BASHAR	T1	0	4.31	6/21/2013 0:00	2013	T1 bolt 02	2.37
ACAD	BASHAR	T1	0	4.47	6/21/2013 0:00	2013	T1 bolt 03	5.25
ACAD	BASHAR	T1	0	3.89	6/21/2013 0:00	2013	T1 bolt 04	8.02
ACAD	BASHAR	T1	0	3.73	6/21/2013 0:00	2013	T1 bolt 05	9.93
ACAD	BASHAR	T1	0	2.76	6/21/2013 0:00	2013	T1 bolt 06	12.09
ACAD	BASHAR	T1	0	2.22	6/21/2013 0:00	2013	T1 bolt 07	13.61
ACAD	BASHAR	T1	0	2.53	6/21/2013 0:00	2013	T1 bolt 08	14.63
ACAD	BASHAR	T1	0	2.54	6/21/2013 0:00	2013	T1 bolt 09	16.26
ACAD	BASHAR	T1	0	2.16	6/21/2013 0:00	2013	T1 bolt 10	18.79
ACAD	BASHAR	T1	0	1.85	6/21/2013 0:00	2013	T1 bolt 11	21.52
ACAD	BASHAR	T1	0	1.73	6/21/2013 0:00	2013	T1 bolt 12	22.97
ACAD	BASHAR	T1	0	1.76	6/21/2013 0:00	2013	T1 bolt 13	24.52
ACAD	BASHAR	T1	0	1.78	6/21/2013 0:00	2013	T1 bolt 14	25.98
ACAD	BASHAR	T1	0	1.69	6/21/2013 0:00	2013	T1 bolt 15	27.1
ACAD	BASHAR	T1	0	1.53	6/21/2013 0:00	2013	T1 bolt 16	29.65
ACAD	BASHAR	T1	0	1.3	6/21/2013 0:00	2013	T1 bolt 17	32.6
ACAD	BASHAR	T1	0	0.99	6/21/2013 0:00	2013	T1 bolt 18	34.96
ACAD	BASHAR	T1	0	0.86	6/21/2013 0:00	2013	T1 bolt 19	37.06
ACAD	BASHAR	T1	0	0.93	6/21/2013 0:00	2013	T1 bolt 20	39.56
ACAD	BASHAR	T1	0	0.84	6/21/2013 0:00	2013	T1 bolt 21	41.7
ACAD	BASHAR	T1	0	0.87	6/21/2013 0:00	2013	T1 bolt 22	42.94
ACAD	BASHAR	T1	0	0.78	6/21/2013 0:00	2013	T1 bolt 23	45.15
ACAD	BASHAR	T2	0	4.71	6/21/2013 0:00	2013	T2 bolt 01	0
ACAD	BASHAR	T2	0	4.49	6/21/2013 0:00	2013	T2 bolt 02	2.78
ACAD	BASHAR	T2	0	4.27	6/21/2013 0:00	2013	T2 bolt 03	5.52
ACAD	BASHAR	T2	0	3.97	6/21/2013 0:00	2013	T2 bolt 04	6.15
ACAD	BASHAR	T2	0	3.58	6/21/2013 0:00	2013	T2 bolt 05	8.33
ACAD	BASHAR	T2	0	3.4	6/21/2013 0:00	2013	T2 bolt 06	8.85
ACAD	BASHAR	T2	0	3.25	6/21/2013 0:00	2013	T2 bolt 07	10.33
ACAD	BASHAR	T2	0	2.55	6/21/2013 0:00	2013	T2 bolt 08	12.01
ACAD	BASHAR	T2	0	2.74	6/21/2013 0:00	2013	T2 bolt 09	13.72
ACAD	BASHAR	T2	0	2.79	6/21/2013 0:00	2013	T2 bolt 10	14.98
ACAD	BASHAR	T2	0	2.61	6/21/2013 0:00	2013	T2 bolt 11	16.62
ACAD	BASHAR	T2	0	2.47	6/21/2013 0:00	2013	T2 bolt 12	18.75
ACAD	BASHAR	T2	0	2.3	6/21/2013 0:00	2013	T2 bolt 13	20.04
ACAD	BASHAR	T2	0	2.02	6/21/2013 0:00	2013	T2 bolt 14	20.78
ACAD	BASHAR	T2	0	1.88	6/21/2013 0:00	2013	T2 bolt 15	22.69
ACAD	BASHAR	T2	0	1.94	6/21/2013 0:00	2013	T2 bolt 16	24.21
ACAD	BASHAR	T2	0	2.02	6/21/2013 0:00	2013	T2 bolt 17	25.72
ACAD	BASHAR	T2	0	1.73	6/21/2013 0:00	2013	T2 bolt 18	27.99
ACAD	BASHAR	T2	0	1.59	6/21/2013 0:00	2013	T2 bolt 19	30.23
ACAD	BASHAR	T2	0	1.76	6/21/2013 0:00	2013	T2 bolt 20	31.28
ACAD	BASHAR	T2	0	1.52	6/21/2013 0:00	2013	T2 bolt 21	32.51
ACAD	BASHAR	T2	0	1.08	6/21/2013 0:00	2013	T2 bolt 22	35.21
ACAD	BASHAR	T2	0	0.91	6/21/2013 0:00	2013	T2 bolt 23	37.21
ACAD	BASHAR	T1	0	4.51	6/21/2014 0:00	2014	T1 bolt 01	0
ACAD	BASHAR	T1	0	4.31	6/21/2014 0:00	2014	T1 bolt 02	2.4
ACAD	BASHAR	T1	0	4.47	6/21/2014 0:00	2014	T1 bolt 03	5.33
ACAD	BASHAR	T1	0	3.89	6/21/2014 0:00	2014	T1 bolt 04	8.08
ACAD	BASHAR	T1	0	3.73	6/21/2014 0:00	2014	T1 bolt 05	9.99
ACAD	BASHAR	T1	0	2.76	6/21/2014 0:00	2014	T1 bolt 06	12.22
ACAD	BASHAR	T1	0	2.22	6/21/2014 0:00	2014	T1 bolt 07	13.74
ACAD	BASHAR	T1	0	2.53	6/21/2014 0:00	2014	T1 bolt 08	14.72
ACAD	BASHAR	T1	0	2.54	6/21/2014 0:00	2014	T1 bolt 09	16.32
ACAD	BASHAR	T1	0	2.16	6/21/2014 0:00	2014	T1 bolt 10	18.85
ACAD	BASHAR	T1	0	1.85	6/21/2014 0:00	2014	T1 bolt 11	21.53
ACAD	BASHAR	T1	0	1.73	6/21/2014 0:00	2014	T1 bolt 12	23.99
ACAD	BASHAR	T1	0	1.76	6/21/2014 0:00	2014	T1 bolt 13	24.53
ACAD	BASHAR	T1	0	1.78	6/21/2014 0:00	2014	T1 bolt 14	26.03
ACAD	BASHAR	T1	0	1.69	6/21/2014 0:00	2014	T1 bolt 15	27.15
ACAD	BASHAR	T1	0	1.53	6/21/2014 0:00	2014	T1 bolt 16	29.68
ACAD	BASHAR	T1	0	1.3	6/21/2014 0:00	2014	T1 bolt 17	32.63
ACAD	BASHAR	T1	0	0.99	6/21/2014 0:00	2014	T1 bolt 18	34.92
ACAD	BASHAR	T1	0	0.86	6/21/2014 0:00	2014	T1 bolt 19	37.03
ACAD	BASHAR	T1	0	0.93	6/21/2014 0:00	2014	T1 bolt 20	39.53
ACAD	BASHAR	T1	0	0.84	6/21/2014 0:00	2014	T1 bolt 21	41.7
ACAD	BASHAR	T1	0	0.87	6/21/2014 0:00	2014	T1 bolt 22	43.01
ACAD	BASHAR	T1	0	0.78	6/21/2014 0:00	2014	T1 bolt 23	45.28
ACAD	BASHAR	T1	0	4.51	6/12/2015 0:00	2015	T1 bolt 01	0
ACAD	BASHAR	T1	0	4.31	6/12/2015 0:00	2015	T1 bolt 02	2.33
ACAD	BASHAR	T1	0	4.47	6/12/2015 0:00	2015	T1 bolt 03	5.24
ACAD	BASHAR	T1	0	3.89	6/12/2015 0:00	2015	T1 bolt 04	7.99
ACAD	BASHAR	T1	0	3.73	6/12/2015 0:00	2015	T1 bolt 05	9.95
ACAD	BASHAR	T1	0	2.76	6/12/2015 0:00	2015	T1 bolt 06	12.15
ACAD	BASHAR	T1	0	2.22	6/12/2015 0:00	2015	T1 bolt 07	13.54
ACAD	BASHAR	T1	0	2.53	6/12/2015 0:00	2015	T1 bolt 08	14.53
ACAD	BASHAR	T1	0	2.54	6/12/2015 0:00	2015	T1 bolt 09	16.17
ACAD	BASHAR	T1	0	2.16	6/12/2015 0:00	2015	T1 bolt 10	18.74
ACAD	BASHAR	T1	0	1.85	6/12/2015 0:00	2015	T1 bolt 11	21.45
ACAD	BASHAR	T1	0	1.73	6/12/2015 0:00	2015	T1 bolt 12	22.88
ACAD	BASHAR	T1	0	1.76	6/12/2015 0:00	2015	T1 bolt 13	24.4
ACAD	BASHAR	T1	0	1.78	6/12/2015 0:00	2015	T1 bolt 14	25.88
ACAD	BASHAR	T1	0	1.69	6/12/2015 0:00	2015	T1 bolt 15	26.97
ACAD	BASHAR	T1	0	1.53	6/12/2015 0:00	2015	T1 bolt 16	29.51
ACAD	BASHAR	T1	0	1.3	6/12/2015 0:00	2015	T1 bolt 17	32.46
ACAD	BASHAR	T1	0	0.99	6/12/2015 0:00	2015	T1 bolt 18	34.77
ACAD	BASHAR	T1	0	0.86	6/12/2015 0:00	2015	T1 bolt 19	36.88
ACAD	BASHAR	T1	0	0.93	6/12/2015 0:00	2015	T1 bolt 20	39.38
ACAD	BASHAR	T1	0	0.84	6/12/2015 0:00	2015	T1 bolt 21	41.42
ACAD	BASHAR	T1	0	0.87	6/12/2015 0:00	2015	T1 bolt 22	42.5
ACAD	BASHAR	T1	0	0.78	6/12/2015 0:00	2015	T1 bolt 23	44.72
ACAD	BASHAR	T1	0	4.51	6/28/2016 0:00	2016	T1 bolt 01	0
ACAD	BASHAR	T1	0	4.31	6/28/2016 0:00	2016	T1 bolt 02	2.33
ACAD	BASHAR	T1	0	4.47	6/28/2016 0:00	2016	T1 bolt 03	5.11
ACAD	BASHAR	T1	0	3.89	6/28/2016 0:00	2016	T1 bolt 04	7.76
ACAD	BASHAR	T1	0	3.73	6/28/2016 0:00	2016	T1 bolt 05	9.66
ACAD	BASHAR	T1	0	2.76	6/28/2016 0:00	2016	T1 bolt 06	11.8
ACAD	BASHAR	T1	0	2.22	6/28/2016 0:00	2016	T1 bolt 07	13.16
ACAD	BASHAR	T1	0	2.53	6/28/2016 0:00	2016	T1 bolt 08	14.15
ACAD	BASHAR	T1	0	2.54	6/28/2016 0:00	2016	T1 bolt 09	15.81
ACAD	BASHAR	T1	0	2.16	6/28/2016 0:00	2016	T1 bolt 10	18.34
ACAD	BASHAR	T1	0	1.85	6/28/2016 0:00	2016	T1 bolt 11	21.01
ACAD	BASHAR	T1	0	1.73	6/28/2016 0:00	2016	T1 bolt 12	22.46
ACAD	BASHAR	T1	0	1.76	6/28/2016 0:00	2016	T1 bolt 13	24
ACAD	BASHAR	T1	0	1.78	6/28/2016 0:00	2016	T1 bolt 14	25.49
ACAD	BASHAR	T1	0	1.69	6/28/2016 0:00	2016	T1 bolt 15	26.61
ACAD	BASHAR	T1	0	1.53	6/28/2016 0:00	2016	T1 bolt 16	29.13
ACAD	BASHAR	T1	0	1.3	6/28/2016 0:00	2016	T1 bolt 17	31.98
ACAD	BASHAR	T1	0	0.99	6/28/2016 0:00	2016	T1 bolt 18	34.26
ACAD	BASHAR	T1	0	0.86	6/28/2016 0:00	2016	T1 bolt 19	36.4
ACAD	BASHAR	T1	0	0.93	6/28/2016 0:00	2016	T1 bolt 20	38.9
ACAD	BASHAR	T1	0	0.84	6/28/2016 0:00	2016	T1 bolt 21	40.94
ACAD	BASHAR	T1	0	0.87	6/28/2016 0:00	2016	T1 bolt 22	42.08
ACAD	BASHAR	T1	0	0.78	6/28/2016 0:00	2016	T1 bolt 23	44.28
ACAD	BASHAR	T2	0	0.95	6/21/2013 0:00	2013	T2 bolt 24	39.26
ACAD	BASHAR	T2	0	1.05	6/21/2013 0:00	2013	T2 bolt 25	40.53
ACAD	BASHAR	T2	0	1.07	6/21/2013 0:00	2013	T2 bolt 26	42.5
ACAD	BASHAR	T2	0	1.03	6/21/2013 0:00	2013	T2 bolt 27	44.88
ACAD	BASHAR	T2	0	0.77	6/21/2013 0:00	2013	T2 bolt 28	45.62
ACAD	BASHAR	T3	0	4.49	6/21/2013 0:00	2013	T3 bolt 01	0
ACAD	BASHAR	T3	0	4.32	6/21/2013 0:00	2013	T3 bolt 02	2.45
ACAD	BASHAR	T3	0	4.46	6/21/2013 0:00	2013	T3 bolt 03	5.05
ACAD	BASHAR	T3	0	3.92	6/21/2013 0:00	2013	T3 bolt 04	6.1
ACAD	BASHAR	T3	0	3.93	6/21/2013 0:00	2013	T3 bolt 05	7.7
ACAD	BASHAR	T3	0	3.6	6/21/2013 0:00	2013	T3 bolt 06	8.85
ACAD	BASHAR	T3	0	3.4	6/21/2013 0:00	2013	T3 bolt 07	11.35
ACAD	BASHAR	T3	0	3.17	6/21/2013 0:00	2013	T3 bolt 08	13.81
ACAD	BASHAR	T3	0	3.02	6/21/2013 0:00	2013	T3 bolt 09	15.53
ACAD	BASHAR	T3	0	2.77	6/21/2013 0:00	2013	T3 bolt 10	17.77
ACAD	BASHAR	T3	0	2.53	6/21/2013 0:00	2013	T3 bolt 11	20.36
ACAD	BASHAR	T3	0	2.62	6/21/2013 0:00	2013	T3 bolt 12	21.69
ACAD	BASHAR	T3	0	2.28	6/21/2013 0:00	2013	T3 bolt 13	24.17
